program_id,university_id,name,level,year,type,language,duration,start,deadline,requirements,quantity,description,contact_email,contact_phone,financing,accommodation,created_at,updated_at,is_active
11,3,Экономика: семестровый обмен,бакалавриат,1,Специальная программа обмена,Другой,2 недели (интенсив),01.02.2026,14.10.2025,Средний балл ≥ 3.8;,20,Программа направлена на академическую мобильность и развитие междисциплинарных компетенций.,exchange3_1@hse.ru,+7(343)375-5511,"Да, полное финансирование перелета и проживания",Нет,01.09.2025 10:00,01.09.2025 10:00,TRUE
12,3,Data Science и аналитика: обмен,специалитет,3,Семестровый академический обмен,Английский,3 месяца,15.07.2026,30.04.2026,Средний балл ≥ 4.0; язык обучения - Английский (B2),22,Участники смогут подобрать дисциплины для перезачета в домашнем университете.,exchange3_2@hse.ru,+7(495)408-5512,Без финансирования; возможно общежитие,Нет,01.09.2025 10:00,01.09.2025 10:00,TRUE
13,3,Государственное и муниципальное управление,магистратура,1,Двусторонний академический обмен,Русский,1 семестр (4-5 месяцев),01.09.2025,31.03.2025,Средний балл ≥ 4.2;,24,Доступны проектные и командные форматы обучения с реальными кейсами.,exchange3_3@hse.ru,+7(495)939-5513,"Грант на обучение, проживание за счет студента",Нет,01.09.2025 10:00,01.09.2025 10:00,TRUE
14,3,Социология и гуманитарные науки: летняя школа,бакалавриат,"1,2",Исследовательский семестр,Русский,6 недель,01.09.2026,15.04.2026,Средний балл ≥ 4.5; портфолио проектов,5,"Курсы читаются преподавателями принимающего вуза, доступ к лабораториям и ресурсам.",exchange3_4@hse.ru,+7(812)328-5514,Частичное финансирование: стипендия на проживание,Нет,01.09.2025 10:00,01.09.2025 10:00,TRUE
15,3,Бизнес-информатика: специальная программа,специалитет,"3,4",Летняя школа,Русский,1 семестр (5 месяцев),01.02.2027,01.11.2026,Средний балл ≥ 4.0;,7,Программа включает менторскую поддержку и консультации по исследовательским проектам.,exchange3_5@hse.ru,+7(495)772-5515,"Полная стипендия, перелет не включен",Нет,01.09.2025 10:00,01.09.2025 10:00,TRUE
16,4,Нефтегазовое дело: семестровый обмен,бакалавриат,"3,4",Семестровый академический обмен,Русский,2 недели (интенсив),01.09.2026,15.04.2026,"Средний балл ≥ 3.8; олипиады, конкурсы",5,"Курсы читаются преподавателями принимающего вуза, доступ к лабораториям и ресурсам.",exchange4_1@kpfu.ru,+7(843)233-5516,Частичное финансирование: стипендия на проживание,Да,01.09.2025 10:00,01.09.2025 10:00,TRUE
17,4,Информационная безопасность: обмен,специалитет,"2,3",Двусторонний академический обмен,Русский,3 месяца,01.02.2027,01.11.2026,Средний балл ≥ 4.0; письмо-рекомендация,7,Программа включает менторскую поддержку и консультации по исследовательским проектам.,exchange4_2@kpfu.ru,+7(343)375-5517,"Полная стипендия, перелет не включен",Да,01.09.2025 10:00,01.09.2025 10:00,TRUE
18,4,Медицина (специалитет): клинический модуль,магистратура,"1,2",Исследовательский семестр,Русский,1 семестр (4-5 месяцев),01.02.2026,14.10.2025,Средний балл ≥ 4.2,9,Программа направлена на академическую мобильность и развитие междисциплинарных компетенций.,exchange4_3@kpfu.ru,+7(495)408-5518,"Да, полное финансирование перелета и проживания",Да,01.09.2025 10:00,01.09.2025 10:00,TRUE
19,4,Физика конденсированного состояния: исслед. семестр,бакалавриат,"1,2",Летняя школа,Русский,6 недель,15.07.2026,30.04.2026,Средний балл ≥ 4.5; портфолио проектов,11,Участники смогут подобрать дисциплины для перезачета в домашнем университете.,exchange4_4@kpfu.ru,+7(495)939-5519,Без финансирования; возможно общежитие,Да,01.09.2025 10:00,01.09.2025 10:00,TRUE
20,4,Педагогическое образование: двусторонний обмен,специалитет,"3,4",Специальная программа обмена,Русский,1 семестр (5 месяцев),01.09.2025,31.03.2025,Средний балл ≥ 4.0; опыт преподавания,13,Доступны проектные и командные форматы обучения с реальными кейсами.,exchange4_5@kpfu.ru,+7(812)328-5520,"Грант на обучение, проживание за счет студента",Да,01.09.2025 10:00,01.09.2025 10:00,TRUE
21,5,Материаловедение и технологии,бакалавриат,"1,2,3,4",Двусторонний академический обмен,Русский,2 недели (интенсив),15.07.2026,30.04.2026,Средний балл ≥ 3.8,11,Участники смогут подобрать дисциплины для перезачета в домашнем университете.,exchange5_1@urfu.ru,+7(495)772-5521,Без финансирования; возможно общежитие,Да,01.09.2025 10:00,01.09.2025 10:00,TRUE
22,5,Энергетика: семестровый обмен,специалитет,1,Исследовательский семестр,Русский,3 месяца,01.09.2025,31.03.2025,Средний балл ≥ 4.0; письмо-рекомендация,13,Доступны проектные и командные форматы обучения с реальными кейсами.,exchange5_2@urfu.ru,+7(843)233-5522,"Грант на обучение, проживание за счет студента",Да,01.09.2025 10:00,01.09.2025 10:00,TRUE
23,5,Мехатроника и робототехника,магистратура,3,Летняя школа,Русский,1 семестр (4-5 месяцев),01.09.2026,15.04.2026,Средний балл ≥ 4.2; русский не ниже B2,15,"Курсы читаются преподавателями принимающего вуза, доступ к лабораториям и ресурсам.",exchange5_3@urfu.ru,+7(343)375-5523,Частичное финансирование: стипендия на проживание,Да,01.09.2025 10:00,01.09.2025 10:00,TRUE
24,5,Управление персоналом: специальная программа,бакалавриат,"3,4",Специальная программа обмена,Английский,6 недель,01.02.2027,01.11.2026,Средний балл ≥ 3.8; язык обучения — Английский (B2),17,Программа включает менторскую поддержку и консультации по исследовательским проектам.,exchange5_4@urfu.ru,+7(495)408-5524,"Полная стипендия, перелет не включен",Да,01.09.2025 10:00,01.09.2025 10:00,TRUE
25,5,Инженерная экология: летняя школа,специалитет,"1,2,3,4,5",Семестровый академический обмен,Русский,1 семестр (5 месяцев),01.02.2026,14.10.2025,Средний балл ≥ 4.0; английский не ниже B2,19,Программа направлена на академическую мобильность и развитие междисциплинарных компетенций.,exchange5_5@urfu.ru,+7(495)939-5525,"Да, полное финансирование перелета и проживания",Да,01.09.2025 10:00,01.09.2025 10:00,TRUE
26,6,Прикладная физика и математика: обмен,бакалавриат,4,Исследовательский семестр,Русский,2 недели (интенсив),01.02.2027,01.11.2026,Средний балл ≥ 4.5; Портфолио проектов,17,Программа включает менторскую поддержку и консультации по исследовательским проектам.,exchange6_1@mipt.ru,+7(812)328-5526,"Полная стипендия, перелет не включен",Нет,01.09.2025 10:00,01.09.2025 10:00,TRUE
27,6,Квантовые технологии: исследовательский семестр,специалитет,"3,4,2005",Летняя школа,Русский,3 месяца,01.02.2026,14.10.2025,Средний балл ≥ 4.0; письмо-рекомендация,19,Программа направлена на академическую мобильность и развитие междисциплинарных компетенций.,exchange6_2@mipt.ru,+7(495)772-5527,"Да, полное финансирование перелета и проживания",Нет,01.09.2025 10:00,01.09.2025 10:00,TRUE
28,6,Аэрофизика и космические исследования,магистратура,2,Специальная программа обмена,Русский,1 семестр (4-5 месяцев),15.07.2026,30.04.2026,Средний балл ≥ 4.2; русский не ниже B2,21,Участники смогут подобрать дисциплины для перезачета в домашнем университете.,exchange6_3@mipt.ru,+7(843)233-5528,Без финансирования; возможно общежитие,Нет,01.09.2025 10:00,01.09.2025 10:00,TRUE
29,6,Биоинформатика: специальная программа,бакалавриат,"3,4",Семестровый академический обмен,Русский,6 недель,01.09.2025,31.03.2025,Средний балл ≥ 4.5; портфолио проектов,23,Доступны проектные и командные форматы обучения с реальными кейсами.,exchange6_4@mipt.ru,+7(343)375-5529,"Грант на обучение, проживание за счет студента",Нет,01.09.2025 10:00,01.09.2025 10:00,TRUE
30,6,Инновационный менеджмент: семестровый обмен,специалитет,"2,3,2004",Двусторонний академический обмен,Русский,1 семестр (5 месяцев),01.09.2026,15.04.2026,Средний балл ≥ 4.0; английский не ниже B2,25,"Курсы читаются преподавателями принимающего вуза, доступ к лабораториям и ресурсам.",exchange6_5@mipt.ru,+7(495)408-5530,Частичное финансирование: стипендия на проживание,Нет,01.09.2025 10:00,01.09.2025 10:00,TRUE
